
[14/05/2023 14:33:29]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 38.6, ritmo cardiaco: 104, presión arterial: 180, dispositivo: 24080396
[14/05/2023 14:33:31]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 33.3, ritmo cardiaco: 125, presión arterial: 157, dispositivo: 24080396
[14/05/2023 14:33:33]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 36.5, ritmo cardiaco: 103, presión arterial: 115, dispositivo: 24080396
[14/05/2023 14:33:35]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 37.3, ritmo cardiaco: 127, presión arterial: 141, dispositivo: 24080396
[14/05/2023 14:33:37]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 38.7, ritmo cardiaco: 145, presión arterial: 126, dispositivo: 24080396
[14/05/2023 14:33:39]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 33.6, ritmo cardiaco: 74, presión arterial: 151, dispositivo: 24080396
[14/05/2023 14:33:42]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 35.9, ritmo cardiaco: 82, presión arterial: 131, dispositivo: 24080396
[14/05/2023 14:33:44]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 33.6, ritmo cardiaco: 150, presión arterial: 128, dispositivo: 24080396
[14/05/2023 14:33:46]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 38.3, ritmo cardiaco: 70, presión arterial: 180, dispositivo: 24080396
[14/05/2023 14:33:48]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 33.8, ritmo cardiaco: 137, presión arterial: 177, dispositivo: 24080396
[14/05/2023 14:33:51]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 35.2, ritmo cardiaco: 133, presión arterial: 114, dispositivo: 24080396
[14/05/2023 14:33:53]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 37.5, ritmo cardiaco: 106, presión arterial: 186, dispositivo: 24080396
[14/05/2023 14:33:56]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 35.9, ritmo cardiaco: 63, presión arterial: 194, dispositivo: 24080396
[14/05/2023 14:33:58]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 37.0, ritmo cardiaco: 142, presión arterial: 112, dispositivo: 24080396
[14/05/2023 14:34:00]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 36.5, ritmo cardiaco: 99, presión arterial: 183, dispositivo: 24080396
[14/05/2023 14:34:02]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 34.6, ritmo cardiaco: 85, presión arterial: 193, dispositivo: 24080396
[14/05/2023 14:34:05]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 36.4, ritmo cardiaco: 124, presión arterial: 152, dispositivo: 24080396
[14/05/2023 14:34:07]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 35.7, ritmo cardiaco: 136, presión arterial: 176, dispositivo: 24080396
[14/05/2023 14:34:09]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 33.1, ritmo cardiaco: 147, presión arterial: 187, dispositivo: 24080396
[14/05/2023 14:34:11]: Erin Cooper... ssn: 107-29-7963, edad: 109, temperatura: 36.0, ritmo cardiaco: 76, presión arterial: 112, dispositivo: 24080396
