
[14/05/2023 20:50:51]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 38.4, ritmo cardiaco: 150, presión arterial: 115, dispositivo: 96888143
[14/05/2023 20:50:54]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 38.1, ritmo cardiaco: 140, presión arterial: 159, dispositivo: 96888143
[14/05/2023 20:50:58]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 34.6, ritmo cardiaco: 131, presión arterial: 173, dispositivo: 96888143
[14/05/2023 20:51:01]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 38.9, ritmo cardiaco: 110, presión arterial: 184, dispositivo: 96888143
[14/05/2023 20:51:06]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 36.9, ritmo cardiaco: 138, presión arterial: 169, dispositivo: 96888143
[14/05/2023 20:51:09]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 38.9, ritmo cardiaco: 106, presión arterial: 100, dispositivo: 96888143
[14/05/2023 20:51:12]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 35.7, ritmo cardiaco: 63, presión arterial: 176, dispositivo: 96888143
[14/05/2023 20:51:16]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 36.4, ritmo cardiaco: 108, presión arterial: 179, dispositivo: 96888143
[14/05/2023 20:51:19]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 33.9, ritmo cardiaco: 119, presión arterial: 187, dispositivo: 96888143
[14/05/2023 20:51:22]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 33.7, ritmo cardiaco: 126, presión arterial: 126, dispositivo: 96888143
[14/05/2023 20:51:25]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 33.8, ritmo cardiaco: 60, presión arterial: 106, dispositivo: 96888143
[14/05/2023 20:51:29]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 34.9, ritmo cardiaco: 69, presión arterial: 159, dispositivo: 96888143
[14/05/2023 20:51:32]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 36.4, ritmo cardiaco: 140, presión arterial: 108, dispositivo: 96888143
[14/05/2023 20:51:36]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 33.8, ritmo cardiaco: 125, presión arterial: 186, dispositivo: 96888143
[14/05/2023 20:51:39]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 38.2, ritmo cardiaco: 66, presión arterial: 117, dispositivo: 96888143
[14/05/2023 20:51:42]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 34.4, ritmo cardiaco: 140, presión arterial: 121, dispositivo: 96888143
[14/05/2023 20:51:46]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 38.7, ritmo cardiaco: 122, presión arterial: 174, dispositivo: 96888143
[14/05/2023 20:51:49]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 36.4, ritmo cardiaco: 73, presión arterial: 100, dispositivo: 96888143
[14/05/2023 20:51:52]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 36.4, ritmo cardiaco: 76, presión arterial: 144, dispositivo: 96888143
[14/05/2023 20:51:55]: Valerie Hall... ssn: 248-01-4338, edad: 90, temperatura: 35.8, ritmo cardiaco: 72, presión arterial: 116, dispositivo: 96888143
