
[17/05/2023 12:42:20]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 34.3, ritmo    cardiaco: 96, presión arterial: 124, dispositivo: 14296307
[17/05/2023 12:42:23]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 37.7, ritmo    cardiaco: 68, presión arterial: 141, dispositivo: 14296307
[17/05/2023 12:42:25]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 35.4, ritmo    cardiaco: 76, presión arterial: 182, dispositivo: 14296307
[17/05/2023 12:42:27]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 38.4, ritmo    cardiaco: 104, presión arterial: 120, dispositivo: 14296307
[17/05/2023 12:42:29]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 33.9, ritmo    cardiaco: 106, presión arterial: 198, dispositivo: 14296307
[17/05/2023 12:42:32]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 36.2, ritmo    cardiaco: 94, presión arterial: 145, dispositivo: 14296307
[17/05/2023 12:42:34]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 36.0, ritmo    cardiaco: 95, presión arterial: 191, dispositivo: 14296307
[17/05/2023 12:42:36]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 36.8, ritmo    cardiaco: 100, presión arterial: 112, dispositivo: 14296307
[17/05/2023 12:42:38]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 34.8, ritmo    cardiaco: 84, presión arterial: 146, dispositivo: 14296307
[17/05/2023 12:42:40]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 33.8, ritmo    cardiaco: 130, presión arterial: 111, dispositivo: 14296307
[17/05/2023 12:42:42]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 34.4, ritmo    cardiaco: 124, presión arterial: 161, dispositivo: 14296307
[17/05/2023 12:42:45]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 36.0, ritmo    cardiaco: 69, presión arterial: 181, dispositivo: 14296307
[17/05/2023 12:42:47]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 34.6, ritmo    cardiaco: 124, presión arterial: 164, dispositivo: 14296307
[17/05/2023 12:42:49]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 35.5, ritmo    cardiaco: 141, presión arterial: 107, dispositivo: 14296307
[17/05/2023 12:42:51]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 36.5, ritmo    cardiaco: 117, presión arterial: 168, dispositivo: 14296307
[17/05/2023 12:42:53]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 36.2, ritmo    cardiaco: 88, presión arterial: 128, dispositivo: 14296307
[17/05/2023 12:42:56]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 34.5, ritmo    cardiaco: 132, presión arterial: 197, dispositivo: 14296307
[17/05/2023 12:42:58]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 35.8, ritmo    cardiaco: 83, presión arterial: 179, dispositivo: 14296307
[17/05/2023 12:43:00]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 34.1, ritmo    cardiaco: 90, presión arterial: 173, dispositivo: 14296307
[17/05/2023 12:43:02]: Gary Craig... ssn: 251-81-7908, edad: 83, temperatura: 36.0, ritmo    cardiaco: 126, presión arterial: 109, dispositivo: 14296307
