
[14/05/2023 20:48:24]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 37.7, ritmo cardiaco: 74, presión arterial: 165, dispositivo: 21724430
[14/05/2023 20:48:28]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 37.3, ritmo cardiaco: 117, presión arterial: 126, dispositivo: 21724430
[14/05/2023 20:48:33]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 36.2, ritmo cardiaco: 127, presión arterial: 189, dispositivo: 21724430
[14/05/2023 20:48:37]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 36.9, ritmo cardiaco: 85, presión arterial: 150, dispositivo: 21724430
[14/05/2023 20:48:41]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 35.5, ritmo cardiaco: 116, presión arterial: 104, dispositivo: 21724430
[14/05/2023 20:48:46]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 34.6, ritmo cardiaco: 131, presión arterial: 105, dispositivo: 21724430
[14/05/2023 20:48:50]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 38.7, ritmo cardiaco: 86, presión arterial: 157, dispositivo: 21724430
[14/05/2023 20:48:56]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 34.4, ritmo cardiaco: 97, presión arterial: 192, dispositivo: 21724430
[14/05/2023 20:49:01]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 34.0, ritmo cardiaco: 127, presión arterial: 179, dispositivo: 21724430
[14/05/2023 20:49:05]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 34.1, ritmo cardiaco: 135, presión arterial: 119, dispositivo: 21724430
[14/05/2023 20:49:10]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 35.6, ritmo cardiaco: 136, presión arterial: 135, dispositivo: 21724430
[14/05/2023 20:49:15]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 35.9, ritmo cardiaco: 110, presión arterial: 119, dispositivo: 21724430
[14/05/2023 20:49:19]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 33.0, ritmo cardiaco: 111, presión arterial: 152, dispositivo: 21724430
[14/05/2023 20:49:26]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 38.5, ritmo cardiaco: 81, presión arterial: 105, dispositivo: 21724430
[14/05/2023 20:49:31]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 37.2, ritmo cardiaco: 142, presión arterial: 152, dispositivo: 21724430
[14/05/2023 20:49:36]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 35.8, ritmo cardiaco: 98, presión arterial: 135, dispositivo: 21724430
[14/05/2023 20:49:40]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 35.8, ritmo cardiaco: 80, presión arterial: 184, dispositivo: 21724430
[14/05/2023 20:49:45]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 37.4, ritmo cardiaco: 130, presión arterial: 161, dispositivo: 21724430
[14/05/2023 20:49:50]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 37.7, ritmo cardiaco: 70, presión arterial: 148, dispositivo: 21724430
[14/05/2023 20:49:55]: Xavier Phillips... ssn: 294-66-6043, edad: 92, temperatura: 35.6, ritmo cardiaco: 139, presión arterial: 200, dispositivo: 21724430
