
[14/05/2023 20:48:25]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 33.8, ritmo cardiaco: 118, presión arterial: 150, dispositivo: 57465742
[14/05/2023 20:48:29]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 37.6, ritmo cardiaco: 94, presión arterial: 191, dispositivo: 57465742
[14/05/2023 20:48:34]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 37.6, ritmo cardiaco: 110, presión arterial: 103, dispositivo: 57465742
[14/05/2023 20:48:38]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 37.0, ritmo cardiaco: 95, presión arterial: 180, dispositivo: 57465742
[14/05/2023 20:48:42]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 37.8, ritmo cardiaco: 97, presión arterial: 103, dispositivo: 57465742
[14/05/2023 20:48:47]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 35.5, ritmo cardiaco: 96, presión arterial: 168, dispositivo: 57465742
[14/05/2023 20:48:52]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 36.9, ritmo cardiaco: 129, presión arterial: 148, dispositivo: 57465742
[14/05/2023 20:48:57]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 36.2, ritmo cardiaco: 78, presión arterial: 147, dispositivo: 57465742
[14/05/2023 20:49:02]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 33.1, ritmo cardiaco: 139, presión arterial: 169, dispositivo: 57465742
[14/05/2023 20:49:07]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 33.5, ritmo cardiaco: 145, presión arterial: 175, dispositivo: 57465742
[14/05/2023 20:49:11]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 37.4, ritmo cardiaco: 64, presión arterial: 137, dispositivo: 57465742
[14/05/2023 20:49:16]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 36.7, ritmo cardiaco: 109, presión arterial: 178, dispositivo: 57465742
[14/05/2023 20:49:21]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 38.6, ritmo cardiaco: 68, presión arterial: 198, dispositivo: 57465742
[14/05/2023 20:49:27]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 33.8, ritmo cardiaco: 113, presión arterial: 180, dispositivo: 57465742
[14/05/2023 20:49:32]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 37.0, ritmo cardiaco: 105, presión arterial: 174, dispositivo: 57465742
[14/05/2023 20:49:37]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 36.8, ritmo cardiaco: 72, presión arterial: 169, dispositivo: 57465742
[14/05/2023 20:49:41]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 35.7, ritmo cardiaco: 104, presión arterial: 155, dispositivo: 57465742
[14/05/2023 20:49:46]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 33.1, ritmo cardiaco: 124, presión arterial: 181, dispositivo: 57465742
[14/05/2023 20:49:51]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 38.3, ritmo cardiaco: 97, presión arterial: 130, dispositivo: 57465742
[14/05/2023 20:49:57]: Brittany Salazar... ssn: 506-35-3126, edad: 114, temperatura: 37.2, ritmo cardiaco: 103, presión arterial: 102, dispositivo: 57465742
