
[14/05/2023 21:07:24]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 38.2, ritmo cardiaco: 79, presión arterial: 111, dispositivo: 39999564
[14/05/2023 21:07:29]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 34.6, ritmo cardiaco: 109, presión arterial: 118, dispositivo: 39999564
[14/05/2023 21:07:35]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 36.4, ritmo cardiaco: 137, presión arterial: 191, dispositivo: 39999564
[14/05/2023 21:07:40]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 35.2, ritmo cardiaco: 143, presión arterial: 103, dispositivo: 39999564
[14/05/2023 21:07:45]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 33.7, ritmo cardiaco: 64, presión arterial: 104, dispositivo: 39999564
[14/05/2023 21:07:51]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 34.8, ritmo cardiaco: 110, presión arterial: 174, dispositivo: 39999564
[14/05/2023 21:07:56]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 35.0, ritmo cardiaco: 107, presión arterial: 120, dispositivo: 39999564
[14/05/2023 21:08:02]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 36.2, ritmo cardiaco: 98, presión arterial: 199, dispositivo: 39999564
[14/05/2023 21:08:07]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 37.3, ritmo cardiaco: 88, presión arterial: 119, dispositivo: 39999564
[14/05/2023 21:08:13]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 33.6, ritmo cardiaco: 65, presión arterial: 197, dispositivo: 39999564
[14/05/2023 21:08:19]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 34.1, ritmo cardiaco: 137, presión arterial: 166, dispositivo: 39999564
[14/05/2023 21:08:24]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 36.0, ritmo cardiaco: 65, presión arterial: 116, dispositivo: 39999564
[14/05/2023 21:08:30]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 38.5, ritmo cardiaco: 79, presión arterial: 135, dispositivo: 39999564
[14/05/2023 21:08:35]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 33.8, ritmo cardiaco: 85, presión arterial: 158, dispositivo: 39999564
[14/05/2023 21:08:41]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 34.4, ritmo cardiaco: 140, presión arterial: 145, dispositivo: 39999564
[14/05/2023 21:08:46]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 37.9, ritmo cardiaco: 100, presión arterial: 108, dispositivo: 39999564
[14/05/2023 21:08:52]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 36.6, ritmo cardiaco: 124, presión arterial: 126, dispositivo: 39999564
[14/05/2023 21:08:57]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 35.6, ritmo cardiaco: 137, presión arterial: 120, dispositivo: 39999564
[14/05/2023 21:09:02]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 33.4, ritmo cardiaco: 90, presión arterial: 121, dispositivo: 39999564
[14/05/2023 21:09:08]: Zachary King... ssn: 566-59-2372, edad: 82, temperatura: 33.4, ritmo cardiaco: 120, presión arterial: 173, dispositivo: 39999564
