
[17/05/2023 13:09:46]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 35.2, ritmo    cardiaco: 130, presión arterial: 188, dispositivo: 76806542
[17/05/2023 13:09:49]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 36.0, ritmo    cardiaco: 144, presión arterial: 158, dispositivo: 76806542
[17/05/2023 13:09:52]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 38.2, ritmo    cardiaco: 89, presión arterial: 133, dispositivo: 76806542
[17/05/2023 13:09:55]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 33.8, ritmo    cardiaco: 63, presión arterial: 134, dispositivo: 76806542
[17/05/2023 13:09:58]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 35.2, ritmo    cardiaco: 86, presión arterial: 159, dispositivo: 76806542
[17/05/2023 13:10:02]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 38.5, ritmo    cardiaco: 66, presión arterial: 148, dispositivo: 76806542
[17/05/2023 13:10:05]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 36.9, ritmo    cardiaco: 149, presión arterial: 156, dispositivo: 76806542
[17/05/2023 13:10:08]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 34.1, ritmo    cardiaco: 133, presión arterial: 191, dispositivo: 76806542
[17/05/2023 13:10:11]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 36.0, ritmo    cardiaco: 115, presión arterial: 191, dispositivo: 76806542
[17/05/2023 13:10:14]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 36.3, ritmo    cardiaco: 106, presión arterial: 106, dispositivo: 76806542
[17/05/2023 13:10:17]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 33.1, ritmo    cardiaco: 65, presión arterial: 119, dispositivo: 76806542
[17/05/2023 13:10:20]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 33.8, ritmo    cardiaco: 106, presión arterial: 136, dispositivo: 76806542
[17/05/2023 13:10:23]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 38.8, ritmo    cardiaco: 92, presión arterial: 113, dispositivo: 76806542
[17/05/2023 13:10:26]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 34.9, ritmo    cardiaco: 120, presión arterial: 110, dispositivo: 76806542
[17/05/2023 13:10:29]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 33.3, ritmo    cardiaco: 100, presión arterial: 178, dispositivo: 76806542
[17/05/2023 13:10:32]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 34.1, ritmo    cardiaco: 80, presión arterial: 147, dispositivo: 76806542
[17/05/2023 13:10:35]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 34.6, ritmo    cardiaco: 125, presión arterial: 141, dispositivo: 76806542
[17/05/2023 13:10:39]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 38.0, ritmo    cardiaco: 138, presión arterial: 113, dispositivo: 76806542
[17/05/2023 13:10:42]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 33.9, ritmo    cardiaco: 66, presión arterial: 157, dispositivo: 76806542
[17/05/2023 13:10:45]: Kelly Lawrence... ssn: 706-80-7620, edad: 116, temperatura: 33.8, ritmo    cardiaco: 77, presión arterial: 177, dispositivo: 76806542
