
[17/05/2023 13:12:09]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 35.1, ritmo    cardiaco: 90, presión arterial: 108, dispositivo: 21995424
[17/05/2023 13:12:14]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 33.5, ritmo    cardiaco: 94, presión arterial: 125, dispositivo: 21995424
[17/05/2023 13:12:18]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 33.6, ritmo    cardiaco: 139, presión arterial: 157, dispositivo: 21995424
[17/05/2023 13:12:23]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 35.6, ritmo    cardiaco: 135, presión arterial: 121, dispositivo: 21995424
[17/05/2023 13:12:27]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 34.5, ritmo    cardiaco: 121, presión arterial: 117, dispositivo: 21995424
[17/05/2023 13:12:32]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 37.9, ritmo    cardiaco: 115, presión arterial: 170, dispositivo: 21995424
[17/05/2023 13:12:36]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 34.4, ritmo    cardiaco: 89, presión arterial: 158, dispositivo: 21995424
[17/05/2023 13:12:41]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 34.0, ritmo    cardiaco: 118, presión arterial: 110, dispositivo: 21995424
[17/05/2023 13:12:45]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 33.0, ritmo    cardiaco: 65, presión arterial: 137, dispositivo: 21995424
[17/05/2023 13:12:49]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 38.3, ritmo    cardiaco: 119, presión arterial: 148, dispositivo: 21995424
[17/05/2023 13:12:53]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 33.4, ritmo    cardiaco: 65, presión arterial: 145, dispositivo: 21995424
[17/05/2023 13:12:58]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 36.1, ritmo    cardiaco: 102, presión arterial: 118, dispositivo: 21995424
[17/05/2023 13:13:02]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 36.7, ritmo    cardiaco: 96, presión arterial: 150, dispositivo: 21995424
[17/05/2023 13:13:07]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 37.4, ritmo    cardiaco: 82, presión arterial: 123, dispositivo: 21995424
[17/05/2023 13:13:11]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 34.3, ritmo    cardiaco: 127, presión arterial: 148, dispositivo: 21995424
[17/05/2023 13:13:16]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 36.2, ritmo    cardiaco: 63, presión arterial: 128, dispositivo: 21995424
[17/05/2023 13:13:20]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 35.1, ritmo    cardiaco: 79, presión arterial: 168, dispositivo: 21995424
[17/05/2023 13:13:25]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 38.4, ritmo    cardiaco: 63, presión arterial: 138, dispositivo: 21995424
[17/05/2023 13:13:29]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 35.1, ritmo    cardiaco: 134, presión arterial: 184, dispositivo: 21995424
[17/05/2023 13:13:33]: Jasmine Stevens... ssn: 744-86-5637, edad: 68, temperatura: 35.9, ritmo    cardiaco: 83, presión arterial: 148, dispositivo: 21995424
